path,family,readiness_status,estimated_public_band,rmse_to_current_best_7p235,replacement_role,replacement_rank,replacement_reason,next_action
artifacts/fleongg_branch_calibration_joezzzzz_v1/sp45_projection_submission.csv,projection_branch,HOLD_PENDING_CONTEXT,unknown_possible_but_risky,5.794489458134483,backup_projection_review,70,Backup projection branch; review source/output distance before replacing a slot.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/fleongg_branch_calibration_joezzzzz_v2/sp45_projection_submission.csv,projection_branch,HOLD_PENDING_CONTEXT,unknown_possible_but_risky,5.794489458134483,backup_projection_review,70,Backup projection branch; review source/output distance before replacing a slot.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/lucifer_baseline_repro_joezzzzz_v1/sp45_projection_submission.csv,projection_branch,HOLD_PENDING_CONTEXT,unknown_possible_but_risky,5.794489458134483,backup_projection_review,70,Backup projection branch; review source/output distance before replacing a slot.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.52.csv,projection_learned_blend,HOLD_PENDING_CONTEXT,plausible_7p2_to_7p8_band,2.369626059724537,alternate_blend_weight_only,53,Another nearby blend weight; useful only for a deliberate blend curve.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.58.csv,projection_learned_blend,HOLD_PENDING_CONTEXT,plausible_7p2_to_7p8_band,2.2095591831625527,alternate_blend_weight_only,53,Another nearby blend weight; useful only for a deliberate blend curve.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/fleongg_branch_calibration_joezzzzz_v1/fleongg_pretrained_submission.csv,learned_signal,WAIT_OFFICIAL_SCORE,plausible_7p2_to_7p8_band,3.9266904506599176,pending_equivalent_not_replacement,13,Equivalent learned signal is already pending as an official submission.,Equivalent learned-signal branch is already submitted as pending.
artifacts/fleongg_branch_calibration_joezzzzz_v2/fleongg_pretrained_submission.csv,learned_signal,WAIT_OFFICIAL_SCORE,plausible_7p2_to_7p8_band,3.921052466799064,pending_equivalent_not_replacement,13,Equivalent learned signal is already pending as an official submission.,Equivalent learned-signal branch is already submitted as pending.
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/fleongg_pretrained_submission.csv,learned_signal,WAIT_OFFICIAL_SCORE,plausible_7p2_to_7p8_band,3.939873132830318,pending_equivalent_not_replacement,13,Equivalent learned signal is already pending as an official submission.,Equivalent learned-signal branch is already submitted as pending.
artifacts/lucifer_baseline_repro_joezzzzz_v1/fleongg_pretrained_submission.csv,learned_signal,WAIT_OFFICIAL_SCORE,plausible_7p2_to_7p8_band,3.681239211086294,pending_equivalent_not_replacement,13,Equivalent learned signal is already pending as an official submission.,Equivalent learned-signal branch is already submitted as pending.
artifacts/gr_typewell_light_alpha010_v1/submission.csv,gr_typewell_light,HOLD_LOW_UPSIDE,likely_around_7p235_low_upside,0.3495336438400857,conservative_low_upside_backup,10,Safe-ish low-upside backup; use only if more informative slots are unavailable.,Likely safe but low information value.
artifacts/gr_typewell_light_alpha020_v1/submission.csv,gr_typewell_light,HOLD_LOW_UPSIDE,likely_around_7p235_low_upside,0.6990672876801919,conservative_low_upside_backup,10,Safe-ish low-upside backup; use only if more informative slots are unavailable.,Likely safe but low information value.
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/sp45_projection_submission.csv,projection_branch,HOLD_PENDING_CONTEXT,plausible_7p2_to_7p8_band,1.4586353704192676,already_planned,-92,Already represented in the current 5-slot plan.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.50.csv,projection_learned_blend,HOLD_PENDING_CONTEXT,plausible_7p2_to_7p8_band,2.4245231391081576,already_planned,-92,Already represented in the current 5-slot plan.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.55.csv,projection_learned_blend,HOLD_PENDING_CONTEXT,plausible_7p2_to_7p8_band,2.2886745633303347,already_planned,-92,Already represented in the current 5-slot plan.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/kernel_outputs/rogii-baidalin-7-201-preflight-codex_v1/submission_sp45_fleongg_w0.60.csv,projection_learned_blend,HOLD_PENDING_CONTEXT,plausible_7p2_to_7p8_band,2.1579355845401738,already_planned,-92,Already represented in the current 5-slot plan.,Wait for pending official scores or running reference kernels before spending another slot.
artifacts/plateau_recent_quantile_v1/submission.csv,plateau_signal,HOLD_INFORMATION_SLOT,unknown_possible_but_risky,4.722387630324052,already_planned,-92,Already represented in the current 5-slot plan.,Sparse local win; hold until pending anchors or stronger validation justify a slot.
artifacts/lucifer_baseline_repro_joezzzzz_v1/submission.csv,anchor_or_duplicate,HOLD_DUPLICATE,likely_around_7p235_low_upside,0.0,do_not_use_duplicate,-95,Duplicate/anchor output; do not use as replacement.,Too close to the active baseline; useful as anchor only.
artifacts/lucifer_baseline_repro_joezzzzz_v1/submission_gold_prefix_aggressive.csv,anchor_or_duplicate,HOLD_DUPLICATE,likely_around_7p235_low_upside,0.0,do_not_use_duplicate,-95,Duplicate/anchor output; do not use as replacement.,Too close to the active baseline; useful as anchor only.
artifacts/lucifer_baseline_repro_joezzzzz_v1/submission_gold_prefix_balanced.csv,anchor_or_duplicate,HOLD_DUPLICATE,likely_around_7p235_low_upside,0.0,do_not_use_duplicate,-95,Duplicate/anchor output; do not use as replacement.,Too close to the active baseline; useful as anchor only.
artifacts/lucifer_baseline_repro_joezzzzz_v1/submission_gold_prefix_conservative.csv,anchor_or_duplicate,HOLD_DUPLICATE,likely_around_7p235_low_upside,0.0,do_not_use_duplicate,-95,Duplicate/anchor output; do not use as replacement.,Too close to the active baseline; useful as anchor only.
artifacts/lucifer_baseline_repro_joezzzzz_v1/submission_pre_gold.csv,anchor_or_duplicate,HOLD_DUPLICATE,likely_around_7p235_low_upside,0.0,do_not_use_duplicate,-95,Duplicate/anchor output; do not use as replacement.,Too close to the active baseline; useful as anchor only.
artifacts/lucifer_baseline_repro_joezzzzz_v1/submission_public_self_verified.csv,anchor_or_duplicate,HOLD_DUPLICATE,likely_around_7p235_low_upside,0.0,do_not_use_duplicate,-95,Duplicate/anchor output; do not use as replacement.,Too close to the active baseline; useful as anchor only.
